id,name,agency_name,position_title_1,position_title_2,position_title_3,grade_level,start_date,end_date,former_org_name,former_org_role,former_org_description,financial_disclosure_url,departed,story_text,story_block,source_url
457,Joseph J. Grogan,Management and Budget,Associate Director for Health Programs,,,"$175,000 ",3/6/17,,"Gilead Sciences, Inc",compensation_source,"I started as the company's representative in Washington, DC, managing consultant lobbyists and covering a range of public health, corporate and pharmaceutical issues of interest to the company.",https://www.documentcloud.org/documents/4388049-Joseph-J-Grogan-Financial-Disclosure.html,,"Lobbied for Gilead Sciences, which had priced its Hepatitis C drugs at $1,000 a pill. Trump had Grogan lead the ""Drug Pricing and Innovation Working Group,"" which made recommendations that would not have lowered drug prices.",TRUE,Warren Report Card
458,Amy Swonger,White House Office,Deputy Assistant to the President and Senate Deputy Director of Legislative Affairs,,,,3/22/17,,Heather Podesta & Partners,compensation_source,Government Affairs,https://www.documentcloud.org/documents/4388340-Amy-Swonger-Financial-Disclosure.html,,Lobbied for insurance giants Cigna and New York Life Insurance Company.,,Warren Report Card
459,Amy Swonger,White House Office,Deputy Assistant to the President and Senate Deputy Director of Legislative Affairs,,,,3/22/17,,Washington Council Ernst & Young,compensation_source,Government Affairs,https://www.documentcloud.org/documents/4388340-Amy-Swonger-Financial-Disclosure.html,,Lobbied for insurance giants Cigna and New York Life Insurance Company.,,Warren Report Card
460,Lora L. Ries,Homeland Security,Advisor,Senior Advisor to Under Secretary for Management,"Chief Of Staff, U.S. Citizenship And Immigration Services","$179,700 ",1/20/17,,CSRA,compensation_source,Industry Strategist,https://www.documentcloud.org/documents/4411297-Lora-Ries-Financial-Disclosure.html,,,,Warren Report Card
461,Lora L. Ries,Homeland Security,Advisor,Senior Advisor to Under Secretary for Management,"Chief Of Staff, U.S. Citizenship And Immigration Services","$179,700 ",1/20/17,,"Insperity, Inc.",compensation_source,Presidential Transition Team,https://www.documentcloud.org/documents/4411297-Lora-Ries-Financial-Disclosure.html,,,,Warren Report Card
462,Michael J. Marshall,Housing and Urban Development,Chief of Staff to the Deputy Secretary,,,"$161,900 ",,,"Marshall Consulting, LLC",compensation_source,"Consulting services that included communications, government affairs, strategic outreach, and executive writing",https://www.documentcloud.org/documents/4430180-Michael-J-Marshall-Financial-Disclosure.html,,Lobbied for satellite company Spectrum Five LLC.,,Warren Report Card
463,Michael J. Marshall,Housing and Urban Development,Chief of Staff to the Deputy Secretary,,,"$161,900 ",,,Hart Health Strategies,compensation_source,"Communications strategy and support, executive writing",https://www.documentcloud.org/documents/4430180-Michael-J-Marshall-Financial-Disclosure.html,,Lobbied for satellite company Spectrum Five LLC.,,Warren Report Card
464,Michael J. Marshall,Housing and Urban Development,Chief of Staff to the Deputy Secretary,,,"$161,900 ",,,Spectrum Five,compensation_source,"Strategic business outreach, government affairs, communications",https://www.documentcloud.org/documents/4430180-Michael-J-Marshall-Financial-Disclosure.html,,Lobbied for satellite company Spectrum Five LLC.,,Warren Report Card
467,Jeffrey Sands,Environmental Protection Agency,Senior Agricultural Advisor,,,"$161,900 ",10/29/17,,Syngenta,compensation_source,Federal Government Relations,https://www.documentcloud.org/documents/4430156-Jeffrey-Sands-Financial-Disclosure.html,,"Former lobbyist for agribusiness giant Syngenta, which makes a herbicide that is linked with reproductive health problems and is under review at the EPA. Sands is currently an adviser at the EPA.",,https://projects.propublica.org/trump-town/staffers/category/waiver
468,William Austin Chatfield,Defense,"Defense Fellow, Washington Headquarters Services","Special Assistant, Office Of The Deputy Chief Management Officer",,"$161,900 ",3/7/17,,Advancing Cameron County,compensation_source,Government/Public Relations,,,,,Warren Report Card
